day ,mood(color),Protien (petal count),alcohol (bees on flower),sleep (center of flower size)
Mon 4/21,4,25,0,9
Tue 4/22,3,55,0,6
Wed 4/23,4,45,0,8
Thu 4/24,5,36,0,7
Fri 4/25,5,43,0,7
Mon 4/28,2,25,0,8
Tue 4/29,4,60,0,7
Wed 4/30,3,40,2,6
Thu 5/1,3,35,3,6
Fri 5/2,4,50,0,8
Mon 5/5,1,20,0,7
Tue 5/6,3,58,0,8
Wed 5/7,2,44,1,7
Thu 5/8,2,33,4,6
Fri 5/9,4,52,0,8
Mon 5/12,4,32,0,7
Tue 5/13,5,60,0,9
Wed 5/14,3,42,2,6
Thu 5/15,2,30,3,6
Fri 5/16,4,50,0,7
Mon 5/19,2,25,0,7
Tue 5/20,4,55,0,8
Wed 5/21,4,48,1,7
Thu 5/22,3,64,2,6
Fri 5/23,5,50,0,8
Sat 5/24,5,32,4,8
Sun 5/25,4,65,4,6
Mon 5/26,1,43,0,6
Tue 5/27,5,25,0,9
Wed 5/28,5,54,1,7
